event_id,market,outcome_name,outcome_price,ts
1024798255,h2h,,,2025-08-29 23:19:43.568953+00
1024387424,h2h,,,2025-08-29 23:19:43.573219+00
1024387439,h2h,,,2025-08-29 23:19:43.577082+00
1023364183,h2h,,,2025-08-29 23:19:43.580845+00
1023418354,h2h,,,2025-08-29 23:19:43.584284+00
1024762750,h2h,,,2025-08-29 23:19:43.594782+00
1024803223,h2h,,,2025-08-29 23:19:43.607082+00
1024794798,h2h,,,2025-08-29 23:19:43.610132+00
1024803221,h2h,,,2025-08-29 23:19:43.617091+00
1024806304,h2h,,,2025-08-29 23:19:43.620661+00
1024807560,h2h,,,2025-08-29 23:19:43.624369+00
1024803205,h2h,,,2025-08-29 23:19:43.628465+00
1024387796,h2h,,,2025-08-29 23:19:43.632613+00
1022037257,h2h,,,2025-08-29 23:19:43.635546+00
1022037245,h2h,,,2025-08-29 23:19:43.638326+00
1022037256,h2h,,,2025-08-29 23:19:43.64165+00
1022037241,h2h,,,2025-08-29 23:19:43.645016+00
1022037244,h2h,,,2025-08-29 23:19:43.64874+00
1022037238,h2h,,,2025-08-29 23:19:43.652869+00
1022037234,h2h,,,2025-08-29 23:19:43.65612+00
1022949412,h2h,,,2025-08-29 23:19:51.959866+00
1024777705,h2h,,,2025-08-29 23:19:51.96417+00
1024110478,h2h,,,2025-08-29 23:19:51.967013+00
1024110487,h2h,,,2025-08-29 23:19:51.97008+00
1024714782,h2h,,,2025-08-29 23:19:51.973637+00
1022635843,h2h,,,2025-08-29 23:19:51.976627+00
1024221322,h2h,,,2025-08-29 23:19:51.979707+00
1024657821,h2h,,,2025-08-29 23:19:51.982406+00
1024794512,h2h,,,2025-08-29 23:19:51.984942+00
1024794857,h2h,,,2025-08-29 23:19:51.987845+00
1024794008,h2h,,,2025-08-29 23:19:51.990252+00
1024796224,h2h,,,2025-08-29 23:19:51.992605+00
1024801876,h2h,,,2025-08-29 23:19:51.995188+00
1024802819,h2h,,,2025-08-29 23:19:51.997548+00
1024790512,h2h,,,2025-08-29 23:19:51.999899+00
1024790664,h2h,,,2025-08-29 23:19:52.002338+00
1024798255,h2h,,,2025-08-29 23:19:52.004798+00
1024387424,h2h,,,2025-08-29 23:19:52.007203+00
1024387439,h2h,,,2025-08-29 23:19:52.009502+00
1023364183,h2h,,,2025-08-29 23:19:52.011923+00
1023418354,h2h,,,2025-08-29 23:19:52.014471+00
1024762750,h2h,,,2025-08-29 23:19:52.018627+00
