event_id,book,market,outcome_name,outcome_price,ts
1023418354,betrivers,h2h,,,2025-08-29 23:55:53.433189+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:53.442331+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:53.447535+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:53.450929+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:53.454785+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:53.457735+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:53.460818+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:53.464021+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:53.467269+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:53.4706+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:53.473794+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:53.476662+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:53.479362+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:53.482297+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:53.485745+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:53.490503+00
1024106982,betrivers,h2h,,,2025-08-29 23:55:53.493763+00
1022636365,betrivers,h2h,,,2025-08-29 23:55:53.497115+00
1022706904,betrivers,h2h,,,2025-08-29 23:55:53.501291+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:53.504337+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:56.640996+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:56.646109+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:56.649598+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:56.652649+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:56.658441+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:56.661887+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:56.664757+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:56.667865+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:56.671252+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:56.674246+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:56.677135+00
