event_id,market,selection,price,line,ts
1022037241,h2h,home,1.61,,2025-08-29 23:56:18+00
1024777705,h2h,home,4.25,,2025-08-29 23:56:18+00
1024387424,h2h,home,1.04,,2025-08-29 23:56:18+00
1022037257,h2h,home,2.85,,2025-08-29 23:56:18+00
1024794857,h2h,home,4.5,,2025-08-29 23:56:18+00
1022037250,h2h,home,2.95,,2025-08-29 23:56:18+00
1022307564,h2h,home,1.1,,2025-08-29 23:56:09+00
1024387439,h2h,home,1.01,,2025-08-29 23:56:09+00
1022706904,h2h,home,2.06,,2025-08-29 23:56:09+00
1024794008,h2h,home,1.2,,2025-08-29 23:56:09+00
1024036675,h2h,home,2.35,,2025-08-29 23:56:09+00
1023418354,h2h,home,1.21,,2025-08-29 23:56:09+00
1024807560,h2h,home,9.5,,2025-08-29 23:56:09+00
1022636365,h2h,home,2.65,,2025-08-29 23:56:09+00
1022635843,h2h,home,8,,2025-08-29 23:56:09+00
1022037244,h2h,home,1.58,,2025-08-29 23:56:09+00
1024805317,h2h,home,1.64,,2025-08-29 23:56:09+00
1022636365,h2h,home,2.65,,2025-08-29 23:56:09+00
1024806304,h2h,home,1.45,,2025-08-29 23:56:08+00
1024387424,h2h,home,1.01,,2025-08-29 23:56:08+00
1022037250,h2h,home,2.85,,2025-08-29 23:56:08+00
1024802819,h2h,home,2.75,,2025-08-29 23:56:08+00
1022706890,h2h,home,1.75,,2025-08-29 23:56:08+00
1022037245,h2h,home,2.3,,2025-08-29 23:56:08+00
1024796224,h2h,home,1.05,,2025-08-29 23:56:08+00
1022636365,h2h,home,2.65,,2025-08-29 23:56:08+00
1022635843,h2h,home,8,,2025-08-29 23:56:08+00
1022037238,h2h,home,8.5,,2025-08-29 23:56:08+00
1024794512,h2h,home,1.15,,2025-08-29 23:56:08+00
1022706890,h2h,home,1.75,,2025-08-29 23:56:08+00
1022037244,h2h,home,1.58,,2025-08-29 23:56:08+00
1024387424,h2h,home,1.01,,2025-08-29 23:56:08+00
1024807560,h2h,home,9.5,,2025-08-29 23:56:08+00
1024106982,h2h,home,1.72,,2025-08-29 23:56:08+00
1023418354,h2h,home,1.21,,2025-08-29 23:56:08+00
1022037256,h2h,home,1.68,,2025-08-29 23:56:08+00
1024794008,h2h,home,1.2,,2025-08-29 23:56:01+00
1024387424,h2h,home,1.01,,2025-08-29 23:56:01+00
1024106982,h2h,home,1.72,,2025-08-29 23:56:01+00
1022706890,h2h,home,1.75,,2025-08-29 23:56:01+00
1022037241,h2h,home,1.61,,2025-08-29 23:56:01+00
1024794512,h2h,home,1.15,,2025-08-29 23:56:01+00
1024790664,h2h,home,4.5,,2025-08-29 23:56:01+00
1024036675,h2h,home,2.35,,2025-08-29 23:56:01+00
